Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
Chippenham,South West,England,County,Sarah,Gibson,Female,LD gain from Con,LD,Con,"74,107","49,512",157,"8,138","14,414","3,925","22,552","6,127","1,954",0,0,0,0,0,0,0,540,0
Chipping Barnet,London,England,Borough,Dan,Tomlinson,Male,Lab gain from Con,Lab,Con,"78,038","50,859",209,"2,914","18,671","21,585","2,614","3,986","3,442",0,0,0,0,0,0,0,561,0
Chorley,North West,England,County,Lindsay,Hoyle,Male,Spk hold,Spk,Green,"74,801","33,964","1,198","20,575",0,0,0,0,"4,663",0,0,0,0,0,0,0,"29,301","25,238"
Christchurch,South West,England,County,Christopher,Chope,Male,Con hold,Con,LD,"71,060","47,335",143,"7,455","16,941","7,762","9,486","8,961","1,900",0,0,0,0,0,0,0,"2,285",0
Cities of London and Westminster,London,England,Borough,Rachel,Blake,Female,Lab gain from Con,Lab,Con,"73,369","39,215",202,"2,708","12,594","15,302","4,335","2,752","2,844",0,0,0,0,0,0,0,"1,388",0
City of Durham,North East,England,County,Mary,Foy,Female,Lab hold,Lab,RUK,"70,583","40,627",165,"11,757","5,221","19,131","5,920","7,374","2,803",0,0,0,0,0,0,0,178,0
Clacton,East of England,England,County,Nigel,Farage,Male,RUK gain from Con,RUK,Con,"78,245","45,958",111,"8,405","12,820","7,448","2,016","21,225","1,935",0,0,0,0,0,0,0,514,0
Clapham and Brixton Hill,London,England,Borough,Bell,Ribeiro-Addy,Female,Lab hold,Lab,LD,"83,114","42,741",209,"18,005","4,360","24,166","6,161","1,758","5,768",0,0,0,0,0,0,0,528,0
Clwyd East,Wales,Wales,County,Becky,Gittins,Female,Lab gain from Con,Lab,Con,"76,637","47,822",163,"4,622","13,862","18,484","1,859","7,626","1,659",0,"3,733",0,0,0,0,0,599,0
Clwyd North,Wales,Wales,County,Gill,German,Female,Lab gain from Con,Lab,Con,"75,027","41,627",111,"1,196","13,598","14,794","1,685","7,000","1,391",0,"3,159",0,0,0,0,0,0,0
Coatbridge and Bellshill,Scotland,Scotland,Burgh,Frank,McNally,Male,Lab gain from SNP,Lab,SNP,"72,667","38,731",115,"6,344","1,382","19,291",671,"2,601","1,229","12,947",0,0,0,0,0,0,610,0
Colchester,East of England,England,Borough,Pam,Cox,Female,Lab gain from Con,Lab,Con,"78,662","44,903",156,"8,250","10,554","18,804","6,393","6,664","2,414",0,0,0,0,0,0,0,74,0
Colne Valley,Yorkshire and The Humber,England,County,Paul,Davies,Male,Lab gain from Con,Lab,Con,"72,638","46,221",139,"4,963","14,007","18,970","2,007","7,298","3,480",0,0,0,0,0,0,0,459,0
Congleton,North West,England,County,Sarah,Russell,Female,Lab gain from Con,Lab,Con,"74,243","50,125",153,"3,387","15,488","18,875","2,785","8,245","2,007",0,0,0,0,0,0,0,"2,725",0
Corby and East Northamptonshire,East Midlands,England,County,Lee,Barron,Male,Lab gain from Con,Lab,Con,"78,770","49,589",165,"6,331","14,689","21,020","2,191","8,760","2,507",0,0,0,0,0,0,0,422,0
Coventry East,West Midlands,England,Borough,Mary,Creagh,Female,Lab hold,Lab,RUK,"75,773","37,014",144,"11,623","6,240","18,308","1,227","6,685","2,730",0,0,0,0,0,0,0,"1,824",0
Coventry North West,West Midlands,England,Borough,Taiwo,Owatemi,Female,Lab hold,Lab,Con,"75,036","42,030",180,"11,174","8,522","19,696","1,931","7,950","3,420",0,0,0,0,0,0,0,511,0
Coventry South,West Midlands,England,Borough,Zarah,Sultana,Female,Lab hold,Lab,Con,"76,232","42,731",159,"10,201","10,160","20,361","2,531","5,711","2,363",0,0,0,0,0,0,0,"1,605",0
Cowdenbeath and Kirkcaldy,Scotland,Scotland,County,Melanie,Ward,Female,Lab gain from SNP,Lab,SNP,"71,845","40,814",106,"7,248","3,203","18,662","1,593","3,128","1,556","11,414",0,0,0,0,0,0,"1,258",0
Cramlington and Killingworth,North East,England,County,Emma,Foody,Female,Lab hold,Lab,RUK,"76,228","45,394",128,"12,820","8,592","22,274","1,898","9,454","2,144",0,0,0,0,0,0,0,"1,032",0
Crawley,South East,England,Borough,Peter,Lamb,Male,Lab gain from Con,Lab,Con,"75,569","45,642",190,"5,235","12,218","17,453","2,205","8,447","2,621",0,0,0,0,0,0,0,"2,698",0
Crewe and Nantwich,North West,England,County,Connor,Naismith,Male,Lab gain from Con,Lab,Con,"78,423","47,197",140,"9,727","11,110","20,837","2,286","9,602","2,151",0,0,0,0,0,0,0,"1,211",0
Croydon East,London,England,Borough,Natasha,Irons,Female,Lab hold,Lab,Con,"76,595","43,779",174,"6,825","11,716","18,541","3,563","5,862","4,097",0,0,0,0,0,0,0,0,0
Croydon South,London,England,Borough,Chris,Philp,Male,Con hold,Con,Lab,"74,889","49,378",159,"2,313","19,757","17,444","4,384","4,149","2,859",0,0,0,0,0,0,0,785,0
Croydon West,London,England,Borough,Sarah,Jones,Female,Lab hold,Lab,Con,"77,891","38,122",172,"14,226","6,386","20,612","3,667","2,148","3,851",0,0,0,0,0,0,0,"1,458",0
Cumbernauld and Kirkintilloch,Scotland,Scotland,County,Katrina,Murray,Female,Lab gain from SNP,Lab,SNP,"70,350","40,976",170,"4,144","1,939","18,513","1,294","3,167","1,694","14,369",0,0,0,0,0,0,0,0
Dagenham and Rainham,London,England,Borough,Margaret,Mullane,Female,Lab hold,Lab,RUK,"76,475","38,867",118,"7,173","6,926","16,571","1,033","9,398","4,184",0,0,0,0,0,0,0,755,0
Darlington,North East,England,County,Lola,McEvoy,Female,Lab gain from Con,Lab,Con,"70,672","42,378",121,"2,298","14,323","16,621","1,735","6,852","2,847",0,0,0,0,0,0,0,0,0
Dartford,South East,England,County,Jim,Dickson,Male,Lab gain from Con,Lab,Con,"75,426","44,488",272,"1,192","14,200","15,392","2,184","9,523","3,189",0,0,0,0,0,0,0,0,0
Daventry,East Midlands,England,County,Stuart,Andrew,Male,Con hold,Con,Lab,"80,879","53,082",216,"3,012","17,872","14,860","6,755","10,636","2,959",0,0,0,0,0,0,0,0,0
Derby North,East Midlands,England,Borough,Catherine,Atkinson,Female,Lab gain from Con,Lab,Con,"71,879","40,919",187,"8,915","9,704","18,619","1,822","7,488","3,286",0,0,0,0,0,0,0,0,0
Derby South,East Midlands,England,Borough,Baggy,Shanker,Male,Lab hold,Lab,RUK,"72,944","37,399",145,"6,002","5,192","14,503","1,807","8,501","1,899",0,0,0,0,0,0,0,"5,497",0
Derbyshire Dales,East Midlands,England,County,John,Whitby,Male,Lab gain from Con,Lab,Con,"73,324","51,272",173,350,"17,409","17,759","4,860","7,728","2,830",0,0,0,0,0,0,0,686,0
Dewsbury and Batley,Yorkshire and The Humber,England,Borough,Iqbal,Mohamed,Male,Ind gain from Lab,Ind,Lab,"71,685","38,070",131,"6,934","4,182","8,707","1,340","6,152","2,048",0,0,0,0,0,0,0,"15,641","15,641"
Didcot and Wantage,South East,England,County,Olly,Glover,Male,LD gain from Con,LD,Con,"80,689","54,733",215,"6,233","15,560","8,045","21,793","6,400","2,693",0,0,0,0,0,0,0,242,0
Doncaster Central,Yorkshire and The Humber,England,County,Sally,Jameson,Female,Lab hold,Lab,Con,"74,678","37,944",113,"9,551","7,964","17,515","1,199","7,886","1,880",0,0,0,0,0,0,0,"1,500",0
Doncaster East and the Isle of Axholme,Yorkshire and The Humber,England,County,Lee,Pitcher,Male,Lab gain from Con,Lab,Con,"70,154","39,132",134,"2,311","12,811","15,122","1,166","8,487","1,400",0,0,0,0,0,0,0,146,0
Doncaster North,Yorkshire and The Humber,England,County,Ed,Miliband,Male,Lab hold,Lab,Con,"69,759","31,002",475,"9,126","7,105","16,231","1,045",0,"1,778",0,0,0,0,0,0,0,"4,843",0
Dorking and Horley,South East,England,County,Chris,Coghlan,Male,LD gain from Con,LD,Con,"71,645","49,965",168,"5,391","15,530","4,053","20,921","6,898","2,563",0,0,0,0,0,0,0,0,0
Dover and Deal,South East,England,County,Mike,Tapp,Male,Lab gain from Con,Lab,RUK,"76,406","47,775",185,"7,585","10,370","18,940","2,595","11,355","3,106",0,0,0,0,0,0,0,"1,409",0
Droitwich and Evesham,West Midlands,England,County,Nigel,Huddleston,Male,Con hold,Con,Lab,"76,624","49,609",177,"8,995","19,975","10,980","5,131","9,456","3,828",0,0,0,0,0,0,0,239,0
Dudley,West Midlands,England,Borough,Sonia,Kumar,Female,Lab gain from Con,Lab,Con,"70,151","35,796",110,"1,900","10,315","12,215","1,056","9,442","1,154",0,0,0,0,0,0,0,"1,614",0
Dulwich and West Norwood,London,England,Borough,Helen,Hayes,Female,Lab hold,Lab,Green,"79,894","45,378",227,"18,789","3,873","27,356","3,485","1,801","8,567",0,0,0,0,0,0,0,296,0
Dumfries and Galloway,Scotland,Scotland,County,John,Cooper,Male,Con hold,Con,SNP,"78,541","45,775",162,930,"13,527","11,767","2,092","4,313","1,249","12,597",0,0,0,0,0,0,230,0
Dumfriesshire  Clydesdale and Tweeddale,Scotland,Scotland,County,David,Mundell,Male,Con hold,Con,SNP,"71,900","44,214",133,"4,242","14,999","10,140","2,800","3,822","1,488","10,757",0,0,0,0,0,0,208,0
Dundee Central,Scotland,Scotland,Burgh,Chris,Law,Male,SNP hold,SNP,Lab,"74,221","38,848",153,675,"1,569","14,869","2,402","2,363",0,"15,544",0,0,0,0,0,0,"2,101",0
Dunfermline and Dollar,Scotland,Scotland,County,Graeme,Downie,Male,Lab gain from SNP,Lab,SNP,"72,824","44,537",140,"8,241","3,297","20,336","3,181","2,887","2,078","12,095",0,0,0,0,0,0,663,0
Dunstable and Leighton Buzzard,East of England,England,County,Alex,Mayer,Female,Lab gain from Con,Lab,Con,"76,742","46,045",171,667,"14,309","14,976","6,497","8,071","2,115",0,0,0,0,0,0,0,77,0
Dwyfor Meirionnydd,Wales,Wales,County,Liz,Saville Roberts,Female,PC hold,PC,Lab,"73,040","40,395",215,"15,876","4,712","5,912","1,381","4,857","1,448",0,"21,788",0,0,0,0,0,297,0
Ealing Central and Acton,London,England,Borough,Rupa,Huq,Female,Lab hold,Lab,Con,"78,436","47,769",254,"13,995","8,345","22,340","6,056","3,105","5,444",0,0,0,0,0,0,0,"2,479",0
Ealing North,London,England,Borough,James,Murray,Male,Lab hold,Lab,Con,"74,820","43,232",198,"12,519","8,144","20,663","2,543","3,948","4,056",0,0,0,0,0,0,0,"3,878",0
Ealing Southall,London,England,Borough,Deirdre,Costigan,Female,Lab hold,Lab,Con,"78,669","46,816",214,"15,793","7,207","23,000","2,832","2,585","4,356",0,0,0,0,0,0,0,"6,836",0
Earley and Woodley,South East,England,Borough,Yuan,Yang,Female,Lab gain from Con,Lab,Con,"73,548","45,914",572,848,"17,361","18,209","6,142",0,"3,418",0,0,0,0,0,0,0,784,0
Easington,North East,England,County,Grahame,Morris,Male,Lab hold,Lab,RUK,"69,395","34,324",72,"6,542","3,753","16,774",811,"10,232","1,173",0,0,0,0,0,0,0,"1,581",0
East Antrim,Northern Ireland,Northern Ireland,County,Sammy,Wilson,Male,DUP hold,DUP,APNI,"73,302","39,675",142,"1,306",0,0,0,0,568,0,0,"11,462","2,986",892,"9,476","10,156","4,135",0
East Grinstead and Uckfield,South East,England,County,Mims,Davies,Female,Con hold,Con,LD,"75,385","50,393",471,"8,480","19,319","10,440","10,839",0,"5,277",0,0,0,0,0,0,0,"4,518",0
East Ham,London,England,Borough,Stephen,Timms,Male,Lab hold,Lab,Ind,"79,219","37,892",173,"12,863","3,876","19,570","1,210","1,340","4,226",0,0,0,0,0,0,0,"7,670",0
East Hampshire,South East,England,County,Damian,Hinds,Male,Con hold,Con,LD,"70,659","50,006",157,"1,275","18,509","4,867","17,234","6,476","2,404",0,0,0,0,0,0,0,516,0
East Kilbride and Strathaven,Scotland,Scotland,County,Joani,Reid,Female,Lab gain from SNP,Lab,SNP,"76,414","46,707",131,"9,057","3,547","22,682","1,074","3,377","1,811","13,625",0,0,0,0,0,0,591,0
East Londonderry,Northern Ireland,Northern Ireland,County,Gregory,Campbell,Male,DUP hold,DUP,SF,"75,707","41,277",158,179,187,0,0,0,445,0,0,"11,506","11,327","5,260","3,412","3,734","5,406",0
East Renfrewshire,Scotland,Scotland,County,Blair,McDougall,Male,Lab gain from SNP,Lab,SNP,"74,626","50,227",141,"8,421","8,494","21,935","1,150","2,360","1,510","13,514",0,0,0,0,0,0,"1,264",0
East Surrey,South East,England,County,Claire,Coutinho,Female,Con hold,Con,Lab,"73,307","49,196",208,"7,450","17,502","10,052","8,833","8,380","2,957",0,0,0,0,0,0,0,"1,472",0
East Thanet,South East,England,Borough,Polly,Billington,Female,Lab gain from Con,Lab,Con,"74,927","42,713",167,"6,971","10,083","17,054","1,365","8,591","4,590",0,0,0,0,0,0,0,"1,030",0
East Wiltshire,South West,England,County,Danny,Kruger,Male,Con hold,Con,Lab,"74,139","47,193",167,"4,716","16,849","12,133","8,204","7,885","1,844",0,0,0,0,0,0,0,278,0
East Worthing and Shoreham,South East,England,County,Tom,Rutland,Male,Lab gain from Con,Lab,Con,"74,738","49,078",181,"9,519","12,601","22,120","3,180","7,169","3,246",0,0,0,0,0,0,0,762,0
Eastbourne,South East,England,Borough,Josh,Babarinde,Male,LD gain from Con,LD,Con,"72,590","45,605",159,"12,204","11,538","2,689","23,742","6,061","1,421",0,0,0,0,0,0,0,154,0
Eastleigh,South East,England,Borough,Liz,Jarvis,Female,LD gain from Con,LD,Con,"69,965","46,420",130,"1,546","14,424","7,005","15,970","6,151","2,403",0,0,0,0,0,0,0,467,0
Edinburgh East and Musselburgh,Scotland,Scotland,Burgh,Chris,Murray,Male,Lab gain from SNP,Lab,SNP,"76,188","45,575",206,"3,715","2,598","18,790","1,949","2,129","4,669","15,075",0,0,0,0,0,0,365,0
Edinburgh North and Leith,Scotland,Scotland,Burgh,Tracy,Gilbert,Female,Lab gain from SNP,Lab,SNP,"78,411","49,475",173,"7,268","3,254","20,805","3,879","1,818","5,417","13,537",0,0,0,0,0,0,765,0
Edinburgh South,Scotland,Scotland,Burgh,Ian,Murray,Male,Lab hold,Lab,SNP,"70,838","46,826",125,"17,251","4,001","24,976","2,746","1,845","4,270","7,725",0,0,0,0,0,0,"1,263",0
Edinburgh South West,Scotland,Scotland,Burgh,Scott,Arthur,Male,Lab gain from SNP,Lab,SNP,"73,784","45,664",147,"6,217","5,558","18,663","3,014","2,087","3,450","12,446",0,0,0,0,0,0,446,0
Edinburgh West,Scotland,Scotland,Burgh,Christine,Jardine,Female,LD hold,LD,SNP,"76,490","52,471",137,"16,470","2,897","7,854","26,645","2,209","2,100","10,175",0,0,0,0,0,0,591,0
Edmonton and Winchmore Hill,London,England,Borough,Kate,Osamor,Female,Lab hold,Lab,Con,"75,792","41,045",204,"12,632","7,888","20,520","2,721","3,501","3,681",0,0,0,0,0,0,0,"2,734",0
Ellesmere Port and Bromborough,North West,England,Borough,Justin,Madders,Male,Lab hold,Lab,RUK,"70,799","41,964",153,"16,908","5,210","24,186","2,328","7,278","2,706",0,0,0,0,0,0,0,256,0
Eltham and Chislehurst,London,England,Borough,Clive,Efford,Male,Lab gain from Con,Lab,Con,"73,979","45,566",192,"8,429","11,640","20,069","2,423","7,428","3,079",0,0,0,0,0,0,0,927,0
Ely and East Cambridgeshire,East of England,England,County,Charlotte,Cane,Female,LD gain from Con,LD,Con,"79,112","52,369",155,495,"16,632","9,160","17,127","6,443","2,359",0,0,0,0,0,0,0,648,0
Enfield North,London,England,Borough,Feryal,Clark,Female,Lab hold,Lab,Con,"78,770","43,492",159,"12,736","8,632","21,368","2,517","5,146","3,713",0,0,0,0,0,0,0,"2,116",0
Epping Forest,East of England,England,County,Neil,Hudson,Male,Con hold,Con,Lab,"72,229","41,753",793,"5,682","18,038","12,356","5,268",0,"2,486",0,0,0,0,0,0,0,"3,605",0
Epsom and Ewell,South East,England,Borough,Helen,Maguire,Female,LD gain from Con,LD,Con,"76,513","54,525",172,"3,686","16,988","8,325","20,674","5,795","1,745",0,0,0,0,0,0,0,998,0
Erewash,East Midlands,England,County,Adam,Thompson,Male,Lab gain from Con,Lab,Con,"71,501","43,006",175,"5,859","11,365","17,224","2,426","9,162","2,478",0,0,0,0,0,0,0,351,0
Erith and Thamesmead,London,England,Borough,Abena,Oppong-Asare,Female,Lab hold,Lab,RUK,"78,740","40,379",157,"16,302","5,564","22,246","1,872","5,944","3,482",0,0,0,0,0,0,0,"1,271",0
Esher and Walton,South East,England,Borough,Monica,Harding,Female,LD gain from Con,LD,Con,"74,042","53,880",157,"12,003","16,312","2,846","28,315","4,777","1,396",0,0,0,0,0,0,0,234,0
Exeter,South West,England,Borough,Steve,Race,Male,Lab hold,Lab,Con,"67,840","40,195",180,"11,937","6,288","18,225","4,201","4,914","5,907",0,0,0,0,0,0,0,660,0
Exmouth and Exeter East,South West,England,County,David,Reed,Male,Con hold,Con,Lab,"79,983","51,316",151,121,"14,728","14,607","11,387","7,085","2,331",0,0,0,0,0,0,0,"1,178",0
Falkirk,Scotland,Scotland,County,Euan,Stainbank,Male,Lab gain from SNP,Lab,SNP,"73,584","42,625",131,"4,996","3,576","18,343","1,092","3,375","1,711","13,347",0,0,0,0,0,0,"1,181",0
Fareham and Waterlooville,South East,England,County,Suella,Braverman,Female,Con hold,Con,Lab,"76,947","50,123",168,"6,079","17,561","11,482","9,533","9,084","2,036",0,0,0,0,0,0,0,427,0
Farnham and Bordon,South East,England,County,Greg,Stafford,Male,Con hold,Con,LD,"75,920","53,015",197,"1,349","18,951","7,328","17,602","6,217","2,496",0,0,0,0,0,0,0,421,0
Faversham and Mid Kent,South East,England,County,Helen,Whately,Female,Con hold,Con,Lab,"74,301","46,594",172,"1,469","14,816","13,347","4,158","9,884","4,218",0,0,0,0,0,0,0,171,0
Feltham and Heston,London,England,Borough,Seema,Malhotra,Female,Lab hold,Lab,Con,"76,982","38,887",165,"7,944","8,195","16,139","1,821","5,130","2,543",0,0,0,0,0,0,0,"5,059",0
Fermanagh and South Tyrone,Northern Ireland,Northern Ireland,County,Pat,Cullen,Female,SF hold,SF,UUP,"77,828","51,076",260,"4,571",0,0,0,0,0,0,0,0,"24,844","2,386","20,273","2,420","1,153",0
Filton and Bradley Stoke,South West,England,Borough,Claire,Hazelgrove,Female,Lab gain from Con,Lab,Con,"77,582","50,367",152,"10,000","12,905","22,905","3,596","6,819","4,142",0,0,0,0,0,0,0,0,0
Finchley and Golders Green,London,England,Borough,Sarah,Sackman,Female,Lab gain from Con,Lab,Con,"77,500","49,289",202,"4,581","17,276","21,857","3,375","2,598","3,107",0,0,0,0,0,0,0,"1,076",0
Folkestone and Hythe,South East,England,County,Tony,Vaughan,Male,Lab gain from Con,Lab,Con,"70,056","43,246",146,"3,729","11,291","15,020","1,736","10,685","3,954",0,0,0,0,0,0,0,560,0
Forest of Dean,South West,England,County,Matt,Bishop,Male,Lab gain from Con,Lab,Con,"72,857","48,091",233,278,"16,095","16,373","2,604","8,194","4,735",0,0,0,0,0,0,0,90,0
Foyle,Northern Ireland,Northern Ireland,County,Colum,Eastwood,Male,SDLP hold,SDLP,SF,"73,496","38,358",310,"4,166",0,0,0,0,0,0,0,"3,915","11,481","15,647","1,422","1,268","4,625",0
Frome and East Somerset,South West,England,County,Anna,Sabine,Female,LD gain from Con,LD,Con,"71,593","46,716",143,"5,415","11,165","6,416","16,580","6,441","5,083",0,0,0,0,0,0,0,"1,031",0
Fylde,North West,England,County,Andrew,Snowden,Male,Con hold,Con,Lab,"77,100","47,960",145,561,"15,917","15,356","2,120","8,295","1,560",0,0,0,0,0,0,0,"4,712",0
Gainsborough,East Midlands,England,County,Edward,Leigh,Male,Con hold,Con,Lab,"75,836","46,685",177,"3,532","16,636","13,104","5,001","9,916","1,832",0,0,0,0,0,0,0,196,0
Gateshead Central and Whickham,North East,England,Borough,Mark,Ferguson,Male,Lab hold,Lab,RUK,"69,827","40,217",140,"9,644","4,628","18,245","4,987","8,601","3,217",0,0,0,0,0,0,0,539,0
Gedling,East Midlands,England,County,Michael,Payne,Male,Lab gain from Con,Lab,Con,"77,006","48,722",176,"11,881","11,397","23,278","2,473","8,211","3,122",0,0,0,0,0,0,0,241,0
Gillingham and Rainham,South East,England,Borough,Naushabah,Khan,Female,Lab gain from Con,Lab,Con,"73,523","41,140",138,"3,972","11,590","15,562","2,248","8,792","2,318",0,0,0,0,0,0,0,630,0
Glasgow East,Scotland,Scotland,Burgh,John,Grady,Male,Lab gain from SNP,Lab,SNP,"68,987","35,445",143,"3,784","1,707","15,543",872,"2,371","2,727","11,759",0,0,0,0,0,0,466,0
Glasgow North,Scotland,Scotland,Burgh,Martin,Rhodes,Male,Lab gain from SNP,Lab,SNP,"67,579","34,739",166,"3,539","1,366","14,655","1,142","1,655","4,233","11,116",0,0,0,0,0,0,572,0
Glasgow North East,Scotland,Scotland,Burgh,Maureen,Burke,Female,Lab gain from SNP,Lab,SNP,"72,610","34,091",81,"4,637","1,182","15,639",592,"2,272","2,471","11,002",0,0,0,0,0,0,933,0
Glasgow South,Scotland,Scotland,Burgh,Gordon,McKee,Male,Lab gain from SNP,Lab,SNP,"70,219","42,378",144,"4,154","1,617","17,696","1,316","1,736","5,554","13,542",0,0,0,0,0,0,917,0
Glasgow South West,Scotland,Scotland,Burgh,Zubir,Ahmed,Male,Lab gain from SNP,Lab,SNP,"68,871","35,669",51,"3,285","1,387","15,552",958,"2,236","2,727","12,267",0,0,0,0,0,0,542,0
Glasgow West,Scotland,Scotland,Burgh,Patricia,Ferguson,Female,Lab gain from SNP,Lab,SNP,"69,028","39,902",186,"6,446","1,720","18,621","1,316","2,098","3,662","12,175",0,0,0,0,0,0,310,0
Glastonbury and Somerton,South West,England,County,Sarah,Dyke,Female,LD gain from Con,LD,Con,"73,268","47,642",203,"6,611","13,753","3,111","20,364","7,678","2,736",0,0,0,0,0,0,0,0,0
Glenrothes and Mid Fife,Scotland,Scotland,County,Richard,Baker,Male,Lab gain from SNP,Lab,SNP,"70,655","36,139",124,"2,954","1,973","15,994","1,604","3,528",0,"13,040",0,0,0,0,0,0,0,0
Gloucester,South West,England,Borough,Alex,McIntyre,Male,Lab gain from Con,Lab,Con,"79,475","45,692",144,"3,431","13,041","16,472","4,759","7,307","2,307",0,0,0,0,0,0,0,"1,806",0
Godalming and Ash,South East,England,County,Jeremy,Hunt,Male,Con hold,Con,LD,"75,816","54,696",138,891,"23,293","2,748","22,402","4,815","1,243",0,0,0,0,0,0,0,195,0
Goole and Pocklington,Yorkshire and The Humber,England,County,David,Davis,Male,Con hold,Con,Lab,"79,925","49,742",165,"3,572","18,981","15,409","3,380","9,054","2,451",0,0,0,0,0,0,0,467,0
Gordon and Buchan,Scotland,Scotland,County,Harriet,Cross,Female,Con hold,Con,SNP,"69,605","43,848",166,878,"14,418","4,686","7,307","3,897",0,"13,540",0,0,0,0,0,0,0,0
Gorton and Denton,North West,England,Borough,Andrew,Gwynne,Male,Lab hold,Lab,RUK,"76,524","36,560",175,"13,413","2,888","18,555","1,399","5,142","4,810",0,0,0,0,0,0,0,"3,766",0
Gosport,South East,England,Borough,Caroline,Dinenage,Female,Con hold,Con,Lab,"73,261","44,277",134,"6,054","17,830","11,776","4,039","7,983","1,948",0,0,0,0,0,0,0,701,0
Gower,Wales,Wales,County,Tonia,Antoniazzi,Female,Lab hold,Lab,Con,"76,123","47,229",160,"11,567","8,913","20,480","2,593","8,530","2,488",0,"3,942",0,0,0,0,0,283,0
Grantham and Bourne,East Midlands,England,County,Gareth,Davies,Male,Con hold,Con,Lab,"73,285","46,125",150,"4,496","16,770","12,274","2,027","9,393","2,570",0,0,0,0,0,0,0,"3,091",0
Gravesham,South East,England,County,Lauren,Sullivan,Female,Lab gain from Con,Lab,Con,"73,094","43,232",134,"2,712","13,911","16,623","1,534","8,910","2,254",0,0,0,0,0,0,0,0,0
Great Grimsby and Cleethorpes,Yorkshire and The Humber,England,Borough,Melanie,Onn,Female,Lab gain from Con,Lab,RUK,"76,157","36,619",97,"4,803","8,269","15,336","1,036","10,533","1,115",0,0,0,0,0,0,0,330,0
Great Yarmouth,East of England,England,County,Rupert,Lowe,Male,RUK gain from Con,RUK,Lab,"73,317","40,748",121,"1,426","10,034","12,959","1,102","14,385","1,736",0,0,0,0,0,0,0,532,0
Greenwich and Woolwich,London,England,Borough,Matthew,Pennycook,Male,Lab hold,Lab,Green,"73,073","42,719",221,"18,366","4,863","23,999","3,865","3,305","5,633",0,0,0,0,0,0,0,"1,054",0
Guildford,South East,England,County,Z”e,Franklin,Female,LD gain from Con,LD,Con,"70,662","48,294",162,"8,429","14,508","3,931","22,937","4,395","2,268",0,0,0,0,0,0,0,255,0
Hackney North and Stoke Newington,London,England,Borough,Diane,Abbott,Female,Lab hold,Lab,Green,"77,812","40,959",254,"15,080","3,457","24,355","1,562","1,283","9,275",0,0,0,0,0,0,0,"1,027",0
Hackney South and Shoreditch,London,England,Borough,Meg,Hillier,Female,Lab hold,Lab,Green,"78,277","41,701",213,"14,737","2,076","24,724","1,996","1,601","9,987",0,0,0,0,0,0,0,"1,317",0
Halesowen,West Midlands,England,Borough,Alex,Ballinger,Male,Lab gain from Con,Lab,Con,"68,549","38,578",142,"4,364","10,659","15,023","2,261","8,484","2,151",0,0,0,0,0,0,0,0,0
Halifax,Yorkshire and The Humber,England,Borough,Kate,Dearden,Female,Lab hold,Lab,Con,"77,516","40,214",149,"6,269","7,866","14,135","2,359","7,811","4,133",0,0,0,0,0,0,0,"3,910",0
Hamble Valley,South East,England,County,Paul,Holmes,Male,Con hold,Con,LD,"79,478","54,004",187,"4,802","19,671","8,753","14,869","8,216","2,310",0,0,0,0,0,0,0,185,0
Hamilton and Clyde Valley,Scotland,Scotland,County,Imogen,Walker,Female,Lab gain from SNP,Lab,SNP,"75,480","42,084",183,"9,472","4,589","21,020","1,511","3,299",0,"11,548",0,0,0,0,0,0,117,0
Hammersmith and Chiswick,London,England,Borough,Andy,Slaughter,Male,Lab hold,Lab,Con,"75,860","46,021",260,"15,290","8,783","24,073","4,292","2,929","4,468",0,0,0,0,0,0,0,"1,476",0
Hampstead and Highgate,London,England,Borough,Tulip,Siddiq,Female,Lab hold,Lab,Con,"80,029","48,550",238,"14,970","8,462","23,432","6,181","2,940","6,630",0,0,0,0,0,0,0,905,0
Harborough  Oadby and Wigston,East Midlands,England,County,Neil,O'Brien,Male,Con hold,Con,Lab,"77,075","50,386",191,"2,378","18,614","16,236","4,732","6,332","4,269",0,0,0,0,0,0,0,203,0
Harlow,East of England,England,County,Chris,Vince,Male,Lab gain from Con,Lab,Con,"74,683","43,357",117,"2,504","13,809","16,313","1,350","9,461","2,267",0,0,0,0,0,0,0,157,0
Harpenden and Berkhamsted,East of England,England,County,Victoria,Collins,Female,LD gain from Con,LD,Con,"72,242","54,336",188,"10,708","16,574","4,061","27,282","4,245","1,951",0,0,0,0,0,0,0,223,0
Harrogate and Knaresborough,Yorkshire and The Humber,England,County,Tom,Gordon,Male,LD gain from Con,LD,Con,"77,955","52,064",125,"8,238","15,738","4,153","23,976","5,679","1,762",0,0,0,0,0,0,0,756,0
Harrow East,London,England,Borough,Bob,Blackman,Male,Con hold,Con,Lab,"76,513","47,777",204,"11,680","25,466","13,786","1,511","2,188","2,006",0,0,0,0,0,0,0,"2,820",0
Harrow West,London,England,Borough,Gareth,Thomas,Male,Lab hold,Lab,Con,"79,902","45,241",150,"6,642","13,191","19,833","2,404","2,639","2,438",0,0,0,0,0,0,0,"4,736",0
